url;keywords1;keywords2
https://www.booking.com/hotel/fr/majestic.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotel-montparnasse.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/opera-cyrano.en-gb.html?selected_currency=EUR;Classic Room;Chambre Classique
https://www.booking.com/hotel/fr/acropole-paris.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/angely.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/alize-grenelle-tour-eiffel.en-gb.html?selected_currency=EUR;Double Room with Shower;Chambre Double avec Douche
https://www.booking.com/hotel/fr/apollon-montparnasse.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/hotelappialafayette.en-gb.html?selected_currency=EUR;Comfort Double or Twin Room;Chambre Double ou Lits Jumeaux Confort
https://www.booking.com/hotel/fr/hotelarcadie.en-gb.html?selected_currency=EUR;Comfort Double Room;Chambre Double Confort
https://www.booking.com/hotel/fr/art-eiffel.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/hotel-alesia-montparnasse.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/audran.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/austin-s-arts-et-metiers.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/avia-ha-tel.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/bailli-de-suffren-tour-eiffel.en-gb.html?selected_currency=EUR;Double Room - Large Bed;Chambre Double - Grand Lit
https://www.booking.com/hotel/fr/beaugrenelle-saint-charles.en-gb.html?selected_currency=EUR;Double Room with Shower;Chambre Double avec Douche
https://www.booking.com/hotel/fr/beausejour-ranelagh.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/comfort-opera-drouot.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/lademeure_paris.en-gb.html?selected_currency=EUR;Classic Double Room with Access to Relaxation Area;Chambre Double Classique avec Accès à l'Espace Détente
https://www.booking.com/hotel/fr/best-western-premier-faubourg-88.en-gb.html?selected_currency=EUR;Classic Queen Room;Chambre Lit Queen-Size Classique
https://www.booking.com/hotel/fr/blc-design.en-gb.html?selected_currency=EUR;White Double Room;Chambre Double Blanche
https://www.booking.com/hotel/fr/bob-by-elegancia.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotelboileau.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double ou Lits Jumeaux Supérieure
https://www.booking.com/hotel/fr/best-western-kemaris.en-gb.html?selected_currency=EUR;Classic Queen Room;Classic Queen Room
https://www.booking.com/hotel/fr/altess-hotel.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/palacito.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/de-l-ocean.en-gb.html?selected_currency=EUR;Comfort Double Room;Comfort Double Room
https://www.booking.com/hotel/fr/saint-julien.en-gb.html?selected_currency=EUR;Comfort Double Room;Comfort Double Room
https://www.booking.com/hotel/fr/hotellebiarritz.en-gb.html?selected_currency=EUR;Standard Room;Standard Room
https://www.booking.com/hotel/fr/bwgrandfrancais.en-gb.html?selected_currency=EUR;Comfort Double Room;Comfort Double Room
https://www.booking.com/hotel/fr/clemenceau.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/de-la-presse.html?selected_currency=EUR;Classic Double Room;Classic Double Room
https://www.booking.com/hotel/fr/la-tour-intendance.en-gb.html?selected_currency=EUR;Classic Double Room;Classic Double Room
https://www.booking.com/hotel/fr/notre-dame-nn.html?selected_currency=EUR;Comfort Double Room;Comfort Double Room
https://www.booking.com/hotel/fr/carladez-cambronne.en-gb.html?selected_currency=EUR;Comfort Double Room with Shower;Chambre Double Confort avec Douche
https://www.booking.com/hotel/fr/hotelcrimee.en-gb.html?selected_currency=EUR;Double or Twin Room;Chambre Double ou Lits Jumeaux
https://www.booking.com/hotel/fr/castexhotel.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotelcentralparis.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/chatillon.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/placeclichy.en-gb.html?selected_currency=EUR;Superior Double Room;Chambre Double Supérieure
https://www.booking.com/hotel/fr/community-of-quality.en-gb.html?selected_currency=EUR;Classic Room;Chambre Classique
https://www.booking.com/hotel/fr/courcelles-etoile.en-gb.html?selected_currency=EUR;Chambre Tradition;Chambre Tradition
https://www.booking.com/hotel/fr/dauphinesaintgermain.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/classicbastille.en-gb.html?selected_currency=EUR;Comfort Room;Chambre Confort
https://www.booking.com/hotel/fr/carina-tour-eiffel.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotusapanorama.en-gb.html?selected_currency=EUR;Double or Twin Room;Chambre Double ou Lits Jumeaux
https://www.booking.com/hotel/fr/first.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/the-five.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/france-louvre.en-gb.html?selected_currency=EUR;Standard Room;Chambre Standard
https://www.booking.com/hotel/fr/fred.en-gb.html?selected_currency=EUR;Classic Room;Chambre Classique
https://www.booking.com/hotel/fr/grand-hotel-de-lunivers.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/grand-de-turin.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/grandhoteldechampagne.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/grand-des-gobelins.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/grand-du-loiret.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotelfrancais.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/grand-ha-tel-la-c-vaaque.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/grand-pigalle.en-gb.html?selected_currency=EUR;Superior Room Pigalle;Chambre Supérieure Pigalle
https://www.booking.com/hotel/fr/des-grands-boulevards.en-gb.html?selected_currency=EUR;Classic Double Room - Petit Boulevard;Chambre Double Classique - Petit Boulevard
https://www.booking.com/hotel/fr/petit-palace.en-gb.html?selected_currency=EUR;Double Room with Private Bathroom;Chambre Double avec Salle de Bains Privative
https://www.booking.com/hotel/fr/helussi.en-gb.html?selected_currency=EUR;Superior Double or Twin Room;Chambre Double ou Lits Jumeaux Supérieure
https://www.booking.com/hotel/fr/royal-opera.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/vingtneuf-lepic.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/aiglon.en-gb.html?selected_currency=EUR;Cosy Double Room;Chambre Double Cosy
https://www.booking.com/hotel/fr/ha-tel-ambre.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/americain-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotel-ami-paris.en-gb.html?selected_currency=EUR;Standard Double Room - La bonne Amie;Chambre Double Standard - La bonne Amie
https://www.booking.com/hotel/fr/andrea-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/ariane-montparnasse.en-gb.html?selected_currency=EUR;Comfort Double Room;Chambre Double Confort
https://www.booking.com/hotel/fr/armoni-paris.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/arvor.en-gb.html?selected_currency=EUR;Classic Room;Chambre Classique
https://www.booking.com/hotel/fr/ascot.en-gb.html?selected_currency=EUR;Double Room with Bath;Chambre Double avec Baignoire
https://www.booking.com/hotel/fr/aston-paris.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
