url,businessName,address,email,phone,registerNumber,scrapedAt,error
"https://www.booking.com/hotel/gb/lavish-1-br-apartment-near-tottenham-stadium.html","","","","","","2025-07-31T06:44:54.564Z","No legal information section found"
"https://www.booking.com/hotel/gb/enfield-walk-vacation-home.html","","","","","","2025-07-31T06:45:31.571Z","No legal information section found"
"https://www.booking.com/hotel/gb/eejs-stylish-3-bedroom-house-london.html","","","","","","2025-07-31T06:45:43.778Z","No legal information section found"
"https://www.booking.com/hotel/gb/the-zen-den-with-hot-tub-and-garden.html","","","","","","2025-07-31T06:46:05.467Z","No legal information section found"
"https://www.booking.com/hotel/gb/auracasa-monarch-suite.html","Companies house gov ukTrade register number: 15279524Close","124 City Road, EC1V2NX London, United Kingdom","auracasa.properties@gmail.com","+447728054686","15279524","2025-07-31T06:46:24.799Z",""
"https://www.booking.com/hotel/gb/cosy-amp-comfortable-3-bed-house-office-amp-driveway.html","Companies HouseTrade register number: 13924015Close","22 Wenlock Road, N1 7GU London, United Kingdom","geministays@gmail.com","+4407788997497","13924015","2025-07-31T06:46:54.251Z",""
"https://www.booking.com/hotel/gb/35-mins-to-central-london-3-bedrooms-2-bathrooms-with-garden.html","","","","","","2025-07-31T06:47:27.371Z","No legal information section found"
"https://www.booking.com/hotel/gb/spacious-home-access-to-central-london-amp-nightlife.html","Vault Property Management ServicesTrade register number: 15788469Close","124 City Road, EC1V 2NX London, United Kingdom","vpms.ltd@yahoo.com","+447904872804","15788469","2025-07-31T06:47:31.499Z",""
"https://www.booking.com/hotel/gb/home-away-from-home-greater-london23.html","","","","","","2025-07-31T06:47:57.011Z","No legal information section found"
"https://www.booking.com/hotel/gb/o2-house.html","","","","","","2025-07-31T06:48:27.184Z","No legal information section found"
"https://www.booking.com/hotel/gb/wembley-luxury-residence-opulence-house.html","","","","","","2025-07-31T06:48:40.064Z","No legal information section found"
"https://www.booking.com/hotel/gb/green-door-greater-london.html","","","","","","2025-07-31T06:49:09.755Z","No legal information section found"
"https://www.booking.com/hotel/gb/buxton-road-suites.html","","","","","","2025-07-31T06:49:29.449Z","No legal information section found"
"https://www.booking.com/hotel/gb/stunning-3-bedroom-house-tottenham-stadium-parking.html","Mabrise Property Management LtdTrade register number: 15618741Close","Flat 6, 3 Gareth Drive, N99GB London, United Kingdom","info@mabrise.co.uk","+447477806408","15618741","2025-07-31T06:50:02.448Z",""
"https://www.booking.com/hotel/gb/cheerful-3-bedroom-home-in-greater-london.html","","","","","","2025-07-31T06:50:23.424Z","No legal information section found"
"https://www.booking.com/hotel/gb/modern-4-bed-house-ideal-for-groups-contractors-near-city-airport-amp-o2-arena-f.html","Gurkha Stay LtdTrade register number: 14525236Close","10 water side court, NP205NT Newport, United Kingdom","","","14525236","2025-07-31T06:50:25.749Z",""
"https://www.booking.com/hotel/gb/meridian-water-contractor-base.html","Companies HouseTrade register number: 14185289Close","20-22 Wenlock Road, London, England,, N1 7GU london, Kent, United Kingdom","info@thecolivingproject.com","+4407389788545","14185289","2025-07-31T06:51:15.761Z",""
"https://www.booking.com/hotel/gb/eejs-luxe-5-bed-home-greenwich.html","","","","","","2025-07-31T06:51:36.238Z","No legal information section found"
"https://www.booking.com/hotel/gb/cosy-3-bedroom-home-perfect-for-family-and-groups.html","Companies HouseTrade register number: 16182203Close","75 Green Dragon House, 64-70 high street, Cr0 1ft Croydon, Surrey, United Kingdom","","","16182203","2025-07-31T06:51:38.528Z",""
"https://www.booking.com/hotel/gb/delight-home-london-city-airport-amp-excel.html","","","","","","2025-07-31T06:52:01.187Z","No legal information section found"
"https://www.booking.com/hotel/gb/contractors-month-stays-family.html","Brookland StaysTrade register number: 14343867Close","124 City Road, EC1V 2NX London, United Kingdom","info@ctbrookproperties.com","+447383255042","14343867","2025-07-31T06:52:14.818Z",""
"https://www.booking.com/hotel/gb/3-bed-home-w-2-bathrooms-free-parking-sleeps-6.html","Companies HouseTrade register number: 09141571Close","Johnston Carmichael Birchin Court 20 Birchin Lane, EC3V 9DU London, United Kingdom","","","09141571","2025-07-31T06:52:17.495Z",""
"https://www.booking.com/hotel/gb/2-br-london-oasis-in-woolwich.html","Non ApplicableTrade register number: 16316640Close","2nd Floor College House, 17 King Edwards Road, HA4 7AE Ruislip, London, United Kingdom","hello@bookthatstay.com","+442080501696","16316640","2025-07-31T06:52:33.944Z",""
"https://www.booking.com/hotel/gb/charming-6br-victorian-house.html","Companies HouseTrade register number: GB12019829Close","Flat 64 Lowerwood Court 351 Westbourne Park Road, W11 1EU London, United Kingdom (+44), United Kingdom","info@brightmorestays.com","+447773669920","","2025-07-31T06:53:03.347Z",""
"https://www.booking.com/hotel/gb/love-in-the-heart-of-wimbledon.html","","","","","","2025-07-31T06:53:15.576Z","No legal information section found"
"https://www.booking.com/hotel/gb/three-bedroom-family-home-with-garden.html","","","","","","2025-07-31T06:53:24.637Z","No legal information section found"
"https://www.booking.com/hotel/gb/nice-3-bedroom-house-ealing.html","","","","","","2025-07-31T06:53:36.412Z","No legal information section found"
"https://www.booking.com/hotel/gb/lt-the-gate-house.html","These are the property host's contact and registration details. The property itself may have different details. The property's details, including its address, will be shared in the booking confirmation. This host has committed to only offer products or services that comply with applicable EU law.Close","10 Henderson Road, E7 8EG London, United Kingdom","tessaathom@hotmail.co.uk","+4407534402487","","2025-07-31T06:53:53.787Z",""
"https://www.booking.com/hotel/gb/lovely-4-br-home-in-leyton-sleeps-14-near-tube.html","","","","","","2025-07-31T06:54:06.072Z","No legal information section found"
